path,words,approx_pages(@400wpp)
"(preamble)",25,0.06
"4.1 From description to inference",60,0.15
"4.1 From description to inference > 4.10 The law of large numbers",227,0.57
"4.1 From description to inference > 4.11 Sampling distributions and the central limit theorem",57,0.14
"4.1 From description to inference > 4.11 Sampling distributions and the central limit theorem > 4.11.1 Sampling distribution of the sample means",101,0.25
"4.1 From description to inference > 4.11 Sampling distributions and the central limit theorem > 4.11.2 Seeing the pieces",261,0.65
"4.1 From description to inference > 4.11 Sampling distributions and the central limit theorem > 4.11.3 Beyond the mean",108,0.27
"4.1 From description to inference > 4.12 The central limit theorem",679,1.70
"4.1 From description to inference > 4.13 z-scores",199,0.50
"4.1 From description to inference > 4.13 z-scores > 4.13.1 What “standardized” means",79,0.20
"4.1 From description to inference > 4.13 z-scores > 4.13.2 Calculating z-scores",117,0.29
"4.1 From description to inference > 4.14 Estimating population parameters",0,0.00
"4.1 From description to inference > 4.14 Estimating population parameters > 4.14.1 Why estimate? (two quick motivations)",67,0.17
"4.1 From description to inference > 4.14 Estimating population parameters > 4.14.2 Sample statistic vs. estimate",55,0.14
"4.1 From description to inference > 4.14 Estimating population parameters > 4.14.3 Estimating the population standard deviation",96,0.24
"4.1 From description to inference > 4.14 Estimating population parameters > 4.14.4 Simulating bias",228,0.57
"4.1 From description to inference > 4.14 Estimating population parameters > 4.14.5 Why variance needs a small correction",205,0.51
"4.1 From description to inference > 4.15 Estimating a confidence interval",298,0.74
"4.1 From description to inference > 4.16 Summary",162,0.41
"4.1 From description to inference > 4.17 Videos",0,0.00
"4.1 From description to inference > 4.17 Videos > 4.17.1 Introduction to Probability",16,0.04
"4.1 From description to inference > 4.17 Videos > 4.17.2 Chebychev’s Theorem",0,0.00
"4.1 From description to inference > 4.17 Videos > 4.17.3 Z-scores",0,0.00
"4.1 From description to inference > 4.17 Videos > 4.17.4 Normal Distribution I",0,0.00
"4.1 From description to inference > 4.17 Videos > 4.17.5 Normal Distribution II",176,0.44
"4.1 From description to inference > 4.2 Probability vs. Statistics",150,0.38
"4.1 From description to inference > 4.3 What does probability mean?",151,0.38
"4.1 From description to inference > 4.4 Basic probability theory",126,0.32
"4.1 From description to inference > 4.5 Rules of Probability",144,0.36
"4.1 From description to inference > 4.5 Rules of Probability > 4.5.1 Not A",24,0.06
"4.1 From description to inference > 4.5 Rules of Probability > 4.5.2 A and B",15,0.04
"4.1 From description to inference > 4.5 Rules of Probability > 4.5.3 A or B",0,0.00
"4.1 From description to inference > 4.5 Rules of Probability > 4.5.4 A \cup B = (\text{chocolate, vanilla, strawberry, rocky road})",95,0.24
"4.1 From description to inference > 4.6 Probaiblity Distributions",185,0.46
"4.1 From description to inference > 4.6 Probaiblity Distributions > 4.6.1 The binomial distribution",249,0.62
"4.1 From description to inference > 4.7 The normal distribution",343,0.86
"4.1 From description to inference > 4.8 Summary of Probability",170,0.42
"4.1 From description to inference > 4.9 Samples, populations and sampling",163,0.41
"4.1 From description to inference > 4.9 Samples, populations and sampling > 4.9.1 Defining a population",86,0.21
"4.1 From description to inference > 4.9 Samples, populations and sampling > 4.9.2 Simple random samples",196,0.49
"4.1 From description to inference > 4.9 Samples, populations and sampling > 4.9.3 Random and non-random samples in practice",96,0.24
"4.1 From description to inference > 4.9 Samples, populations and sampling > 4.9.4 How much does it matter if you don’t have a random sample?",134,0.34
"4.1 From description to inference > 4.9 Samples, populations and sampling > 4.9.5 Population parameters and sample statistics",200,0.50
